e,xmu,bkg,pre_edge,post_edge,der,sec,chie
6969.4748,0.56086841,0.55870752,0.18998792,0.56097699,8.25E-05,-9.85E-06,5.76E-03
6973.5999,0.56107349,0.55908531,0.19033577,0.56134059,5.07E-05,-3.36E-06,5.30E-03
6977.743,0.5612877,0.5594679,0.19068513,0.56170684,5.47E-05,7.68E-07,4.85E-03
6981.89,0.56152659,0.55985395,0.19103482,0.56207452,5.71E-05,-2.52E-06,4.46E-03
6986.0346,0.56176095,0.56024282,0.19138431,0.56244308,3.38E-05,-1.29E-06,4.05E-03
6990.194,0.56180728,0.56063606,0.19173504,0.56281403,4.64E-05,1.92E-06,3.12E-03
6994.3531,0.56214687,0.56103221,0.19208576,0.56318605,4.97E-05,-4.29E-06,2.97E-03
6998.5149,0.56222111,0.56143148,0.19243669,0.56355941,1.07E-05,-5.38E-06,2.11E-03
7002.691,0.56223598,0.56183495,0.19278884,0.56393515,4.87E-06,2.85E-06,1.07E-03
7006.8665,0.56226177,0.56224112,0.19314093,0.56431193,3.45E-05,2.45E-06,5.51E-05
7011.043,0.56252426,0.5626501,0.19349311,0.5646899,2.53E-05,1.12E-06,-3.36E-04
7015.2289,0.56247345,0.56306263,0.19384608,0.56506982,4.39E-05,6.99E-06,-1.57E-03
7019.4208,0.5628917,0.56347834,0.19419956,0.5654514,8.39E-05,7.06E-06,-1.56E-03
7023.6146,0.56317702,0.56389677,0.1945532,0.56583426,1.03E-04,4.76E-06,-1.92E-03
7027.8086,0.56375649,0.56431768,0.19490686,0.56621825,1.24E-04,3.76E-06,-1.50E-03
7031.9941,0.56421476,0.56474012,0.19525979,0.56660256,1.35E-04,3.60E-06,-1.40E-03
7036.1893,0.56488479,0.56516587,0.19561355,0.56698888,1.54E-04,2.37E-07,-7.50E-04
7040.3877,0.56550781,0.56559422,0.19596757,0.56737659,1.37E-04,1.21E-06,-2.30E-04
7044.59,0.56603249,0.56602517,0.19632193,0.56776579,1.64E-04,4.83E-06,1.95E-05
7049.015,0.56692478,0.56648127,0.19669506,0.5681768,1.78E-04,-5.16E-06,1.18E-03
7053.4231,0.56760751,0.56693792,0.19706677,0.56858748,1.19E-04,-1.03E-05,1.79E-03
7057.6329,0.56794751,0.56737608,0.19742175,0.56898082,8.96E-05,-3.91E-06,1.52E-03
7061.8614,0.56836328,0.56781816,0.19777832,0.56937704,8.57E-05,-3.02E-06,1.45E-03
7066.0841,0.56867189,0.56826152,0.1981344,0.56977385,6.41E-05,-3.04E-06,1.09E-03
7070.3075,0.56890451,0.56870678,0.19849053,0.57017183,6.00E-05,-2.27E-06,5.27E-04
7074.5277,0.56917869,0.56915345,0.19884639,0.57057064,4.49E-05,-3.79E-06,6.73E-05
7078.9552,0.56929287,0.56962389,0.19921974,0.57099025,2.72E-05,-8.65E-07,-8.83E-04
7083.6144,0.56942606,0.57012087,0.19961262,0.57143316,3.71E-05,4.45E-06,-1.85E-03
7088.4897,0.56964612,0.57064292,0.20002372,0.57189806,6.97E-05,5.85E-06,-2.66E-03
7093.3561,0.57010497,0.57116597,0.20043408,0.57236362,9.41E-05,3.98E-06,-2.83E-03
7098.25,0.57056444,0.57169389,0.20084675,0.57283331,1.09E-04,2.76E-06,-3.01E-03
7103.1522,0.57116862,0.57222458,0.20126012,0.57330532,1.21E-04,2.61E-06,-2.82E-03
7107.8474,0.57172697,0.5727346,0.20165604,0.57375881,1.34E-04,1.71E-06,-2.69E-03
