e_test,test,e_K_wide,K_wide,e_K_wide,K_narrow,e_Na_wide,Na_wide,e_Na_narrow,Na_narrow
8.64,192775,8.64,72387.5,0.64,11714.0625,8.64,105409.375,0.64,52048.4375
8.62,188609.375,8.62,70631.25,0.62,11581.6406,8.62,103909.375,0.62,52006.25
8.6,185312.5,8.6,70215.625,0.6,11567.1875,8.6,104237.5,0.6,51867.1875
8.58,183918.75,8.58,68381.25,0.58,11564.0625,8.58,102934.375,0.58,51662.8906
8.56,178990.625,8.56,68146.875,0.56,11508.5938,8.56,102234.375,0.56,51321.0938
8.54,179262.5,8.54,66009.375,0.54,11745.3125,8.54,100996.875,0.54,51553.9063
8.52,175403.125,8.52,66053.125,0.52,11401.9531,8.52,100156.25,0.52,51287.1094
8.5,173450,8.5,65084.375,0.5,11562.1094,8.5,99531.25,0.5,50959.375
8.48,171243.75,8.48,64100,0.48,11599.6094,8.48,98950,0.48,50561.3281
8.46,169603.125,8.46,63731.25,0.46,11282.8125,8.46,98928.125,0.46,50838.2813
8.44,166743.75,8.44,61996.875,0.44,11328.125,8.44,96975,0.44,50660.5469
8.42,164003.125,8.42,61887.5,0.42,11458.9844,8.42,97184.375,0.42,50309.7656
8.4,160853.125,8.4,60609.375,0.4,11138.6719,8.4,95875,0.4,50181.25
8.38,158062.5,8.38,58796.875,0.38,11351.5625,8.38,95406.25,0.38,50388.6719
8.36,156678.125,8.36,57850,0.36,11326.5625,8.36,93475,0.36,50122.6563
8.34,153837.5,8.34,57865.625,0.34,11091.4063,8.34,93421.875,0.34,49940.2344
8.32,151606.25,8.32,55787.5,0.32,11188.2813,8.32,92471.875,0.32,49355.4688
8.3,150215.625,8.3,56484.375,0.3,11009.375,8.3,91000,0.3,49685.5469
8.28,147843.75,8.28,54090.625,0.28,10877.7344,8.28,90615.625,0.28,49262.8906
8.26,145278.125,8.26,54090.625,0.26,10919.5313,8.26,90496.875,0.26,48931.6406
8.24,143600,8.24,53243.75,0.24,10706.25,8.24,89721.875,0.24,48756.6406
8.22,142321.875,8.22,52459.375,0.22,10882.0313,8.22,88934.375,0.22,48266.7969
8.2,139653.125,8.2,52134.375,0.2,10803.9063,8.2,89662.5,0.2,48538.6719
8.18,136584.375,8.18,51368.75,0.18,10839.4531,8.18,86478.125,0.18,47973.0469
8.16,134934.375,8.16,50321.875,0.16,10785.9375,8.16,86350,0.16,48133.9844
8.14,132321.875,8.14,49587.5,0.14,10550,8.14,85268.75,0.14,47896.4844
8.12,131459.375,8.12,48412.5,0.12,10545.7031,8.12,84812.5,0.12,47640.625
8.1,128965.625,8.1,48450,0.1,10658.2031,8.1,84037.5,0.1,47305.8594
