e_K_narrow,K_narrow,e_Na_narrow,Na_narrow
-5.18,453.9063,-5.18,590.625
-5.2,532.8125,-5.2,591.7969
-5.22,471.0938,-5.22,616.4063
-5.24,548.0469,-5.24,537.8906
-5.26,503.5156,-5.26,594.5313
-5.28,416.7969,-5.28,524.2188
-5.3,480.4688,-5.3,593.3594
-5.32,407.8125,-5.32,612.1094
-5.34,437.8906,-5.34,525
-5.36,444.5313,-5.36,650.3906
-5.38,538.2813,-5.38,595.7031
-5.4,481.6406,-5.4,569.5313
-5.42,485.9375,-5.42,575.7813
-5.44,497.2656,-5.44,540.625
-5.46,412.8906,-5.46,595.3125
-5.48,460.1563,-5.48,516.4063
-5.5,456.25,-5.5,544.5313
-5.52,462.1094,-5.52,571.4844
-5.54,462.8906,-5.54,458.9844
-5.56,467.1875,-5.56,578.125
-5.58,438.2813,-5.58,551.1719
-5.6,456.25,-5.6,498.4375
-5.62,409.375,-5.62,596.875
-5.64,426.1719,-5.64,511.7188
-5.66,411.3281,-5.66,611.7188
-5.68,439.4531,-5.68,557.8125
-5.7,488.2813,-5.7,532.0313
-5.72,420.7031,-5.72,510.9375
-5.74,485.9375,-5.74,483.5938
-5.76,516.7969,-5.76,609.375
-5.78,455.4688,-5.78,510.9375
-5.8,503.9063,-5.8,566.4063
-5.82,500.7813,-5.82,591.7969
-5.84,461.3281,-5.84,450.3906
-5.86,423.4375,-5.86,551.9531
-5.88,514.4531,-5.88,502.3438
-5.9,406.25,-5.9,478.5156
-5.92,418.75,-5.92,573.0469
-5.94,457.0313,-5.94,500.3906
-5.96,431.6406,-5.96,486.7188
-5.98,471.0938,-5.98,478.125
-6,488.6719,-6,515.625
-6.02,526.9531,-6.02,475.3906
-6.04,412.1094,-6.04,492.9688
-6.06,483.5938,-6.06,580.0781
-6.08,427.3438,-6.08,518.3594
-6.1,383.5938,-6.1,575
-6.12,435.1563,-6.12,565.2344
-6.14,475.7813,-6.14,496.0938
-6.16,447.2656,-6.16,489.0625
-6.18,511.7188,-6.18,536.3281
-6.2,484.7656,-6.2,574.2188
-6.22,455.0781,-6.22,538.2813
-6.24,430.0781,-6.24,564.0625
-6.26,419.1406,-6.26,483.5938
-6.28,451.9531,-6.28,475.3906
-6.3,454.2969,-6.3,529.6875
-6.32,426.9531,-6.32,479.6875
-6.34,480.8594,-6.34,506.6406
-6.36,434.7656,-6.36,559.7656
-6.38,463.6719,-6.38,481.6406
-6.4,527.7344,-6.4,458.2031
-6.42,394.5313,-6.42,507.4219
-6.44,503.9063,-6.44,462.8906
-6.46,398.4375,-6.46,490.625
-6.48,420.7031,-6.48,576.9531
-6.5,481.25,-6.5,503.9063
-6.52,478.125,-6.52,528.125
-6.54,530.8594,-6.54,555.8594
-6.56,472.6563,-6.56,477.3438
-6.58,395.7031,-6.58,556.25
-6.6,402.7344,-6.6,432.0313
-6.62,387.5,-6.62,432.8125
-6.64,395.7031,-6.64,523.8281
-6.66,485.9375,-6.66,524.6094
-6.68,450.3906,-6.68,553.9063
-6.7,435.5469,-6.7,514.4531
-6.72,518.75,-6.72,518.75
-6.74,529.2969,-6.74,560.5469
-6.76,453.5156,-6.76,465.625
-6.78,504.6875,-6.78,552.3438
-6.8,456.6406,-6.8,466.4063
-6.82,445.7031,-6.82,521.4844
-6.84,541.0156,-6.84,585.9375
-6.86,449.2188,-6.86,525.7813
-6.88,470.7031,-6.88,552.7344
-6.9,446.0938,-6.9,519.9219
-6.92,433.2031,-6.92,485.9375
-6.94,429.6875,-6.94,512.5
-6.96,535.1563,-6.96,508.5938
-6.98,447.6563,-6.98,510.5469
-7,525.3906,-7,501.5625
