"wavelength (nm)",0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,0_r
427,1.14569,1.14187,1.145959,1.144376,1.143086,1.144389,1.143984,1.146773,1.145035,1.144777,1.145902,1.144785,1.144769,1.147182,1.14635,1.14347
428,1.145698,1.14406,1.143827,1.142688,1.142715,1.143054,1.143861,1.145917,1.142097,1.143348,1.145902,1.146144,1.145176,1.146274,1.143981,1.145293
429,1.144227,1.142801,1.144051,1.143687,1.141795,1.144103,1.145253,1.14444,1.145668,1.146884,1.145169,1.145682,1.144817,1.145955,1.145192,1.145374
430,1.147438,1.145874,1.143335,1.145675,1.146987,1.148621,1.146068,1.145644,1.146925,1.148166,1.146731,1.145948,1.146414,1.147532,1.147021,1.144916
431,1.14489,1.146041,1.146253,1.14415,1.143788,1.146732,1.146292,1.145742,1.145255,1.146886,1.146732,1.145584,1.147495,1.146662,1.14716,1.146315
432,1.148457,1.147201,1.146899,1.147753,1.148048,1.146873,1.148054,1.150264,1.148788,1.148916,1.150117,1.147251,1.149566,1.148565,1.147888,1.147916
433,1.148655,1.147264,1.146938,1.150016,1.148946,1.149343,1.148367,1.148713,1.149139,1.14987,1.149872,1.14819,1.148149,1.149048,1.151455,1.148709
434,1.14907,1.151204,1.147018,1.148431,1.148099,1.14983,1.150831,1.149533,1.149773,1.149076,1.151613,1.151093,1.15138,1.149596,1.151275,1.147312
435,1.151319,1.151459,1.150108,1.14883,1.149183,1.149256,1.151571,1.151981,1.1498,1.150777,1.149283,1.152962,1.149052,1.153986,1.151837,1.150492
436,1.150231,1.149806,1.151391,1.150222,1.150742,1.149217,1.1504,1.152703,1.150349,1.151943,1.151758,1.152037,1.152126,1.152264,1.151935,1.152354
437,1.151681,1.153456,1.151357,1.150742,1.151279,1.152231,1.153592,1.154885,1.15322,1.154006,1.154585,1.153085,1.153058,1.15382,1.154276,1.153677
438,1.152735,1.15369,1.152535,1.151448,1.151378,1.153446,1.153314,1.154514,1.155048,1.15402,1.15333,1.155089,1.154361,1.155231,1.152948,1.154181
439,1.152867,1.152097,1.153749,1.153824,1.153088,1.153289,1.153727,1.153832,1.153732,1.151658,1.155709,1.154112,1.154907,1.154497,1.155915,1.153619
440,1.153741,1.15209,1.152288,1.15412,1.151072,1.154074,1.152954,1.154786,1.154593,1.155793,1.154121,1.155561,1.157047,1.152822,1.154577,1.15389
441,1.152016,1.152745,1.15274,1.153284,1.153809,1.153029,1.153066,1.152924,1.152455,1.155363,1.153997,1.153901,1.153807,1.15305,1.156015,1.153001
442,1.151021,1.152506,1.151621,1.153648,1.153226,1.153788,1.154189,1.153963,1.15423,1.153487,1.156046,1.154025,1.153685,1.154312,1.155948,1.152379
443,1.153024,1.154449,1.152202,1.153217,1.151844,1.154136,1.154807,1.152501,1.153274,1.152591,1.155972,1.155358,1.155714,1.154796,1.154131,1.154219
444,1.154618,1.152367,1.153532,1.153497,1.151198,1.152058,1.154304,1.152903,1.15302,1.154222,1.154012,1.153387,1.153607,1.156988,1.153616,1.151375
